req_id,pillar,title,description,status,notes,updated_at
"FR-PW-19","Platform-Wide","Salary intelligence","Anonymous crowdsourced comp, benchmarks by industry/level, bar chart.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-20","Platform-Wide","Verified Expert badge","Auto-awarded at ≥15 endorsements from ≥3 distinct endorsers.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-21","Platform-Wide","Real-time 1:1 messaging","WebSocket delivery, threads, unread counts, mark-as-read, auto-scroll.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-PW-22","Platform-Wide","Structured references","Reference requests, referee writes/declines, shown on profile.","done","","2026-08-24T18:15:31.656983+00:00"
"KI-02","Platform-Wide","views.jsx > 1300 lines","Main views.jsx needs splitting into per-pillar files for maintainability.","known_issue","","2026-08-24T18:15:31.656983+00:00"
"KI-05","Platform-Wide","Resource library is static","Events & Resources items are still hardcoded placeholders.","known_issue","","2026-08-24T18:15:31.656983+00:00"
"FR-SP-01","Salt & Pepper","Community posts","Title, body, category. Feed with karma scoring.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SP-02","Salt & Pepper","Upvote/downvote karma","Vote scoring, positive/negative display, anti-double-vote.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SP-03","Salt & Pepper","Anonymous posting","Real identity stored for moderation, 'Anonymous member' displayed publicly.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SP-04","Salt & Pepper","Nested comments / replies","One level deep replies, full threading in post detail.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SP-05","Salt & Pepper","Category filtering","10 topic categories with filter chips.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SP-06","Salt & Pepper","AI community moderation","Flag inappropriate posts before they go live (admin toggle).","done","","2026-08-24T18:15:31.656983+00:00"
"NFR-01","Security","CORS origin hardening","Allowlist regex: *.preview.emergentagent.com + localhost only.","done","","2026-08-24T18:15:31.656983+00:00"
"NFR-02","Security","Redis-backed rate limiting","10 req/900s per IP on auth endpoints. Graceful in-memory fallback.","done","","2026-08-24T18:15:31.656983+00:00"
"NFR-03","Security","Admin route guards","require_admin() enforces is_admin + ADMIN_EMAILS on all admin endpoints.","done","","2026-08-24T18:15:31.656983+00:00"
"NFR-04","Security","Server-side price validation","_validated_amount() prevents client-controlled checkout amounts.","done","","2026-08-24T18:15:31.656983+00:00"
"NFR-05","Security","Resume auth guard","/api/files/resumes/* requires authentication.","done","","2026-08-24T18:15:31.656983+00:00"
"NFR-06","Security","One-time WebSocket tokens","Single-use WS tokens with 60s TTL prevent session replay.","done","","2026-08-24T18:15:31.656983+00:00"
"NFR-07","Security","HttpOnly session cookies","SameSite=None, Secure=True. Tested against K8s proxy.","done","","2026-08-24T18:15:31.656983+00:00"
"NFR-08","Security","Bcrypt password hashing","All passwords bcrypt-hashed before storage.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SE-01","StackEdge","Project asks","Post with title, category, skills, budget range, timeline, remote flag.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SE-02","StackEdge","Project applications","Apply, owner selects, others auto-rejected.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SE-03","StackEdge","Project lifecycle","open → in_progress → completed/cancelled with notifications.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SE-04","StackEdge","Verified track record","Completion creates interaction record. Peer review with star rating.","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SE-05","StackEdge","Greyin Score boost","+30 per completed project (cap 5 = +150 pts max).","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SE-06","StackEdge","Endorsement gate upgrade","Endorse peers from completed StackEdge projects (no connection needed).","done","","2026-08-24T18:15:31.656983+00:00"
"FR-SE-07","StackEdge","Admin LLM toggle panel","4 AI toggles backed by platform_settings collection.","done","","2026-08-24T18:15:31.656983+00:00"
